Id,Secteur,Poste,Entreprise,Ville,Date_De_Publication,Lien,Experience,Contrat,Niveau_Etude,Annee,Competences
53626,Full Stack Developer,Full Stack Developer Intern,FinCorp,New York,2025-11-27,https://linkedin.com/jobs/view/53626,5.0,Alternance,Doctorat,2025,"Docker, NoSQL, REST API, Responsive Design, SQL, HTML, TypeScript, Teamwork"
36122,Business Intelligence,Business Intelligence Junior,CyberGuard,Berlin,2023-12-24,https://linkedin.com/jobs/view/36122,2.0,CDD,Bac +3,2023,"OOP, CI/CD, Python, Git, JavaScript, Unit Testing, Time Management, Teamwork, Analytical Thinking"
10881,Data Scientist,Data Scientist Junior,CyberGuard,Casablanca,2025-01-13,https://linkedin.com/jobs/view/10881,1.0,Stage,Doctorat,2025,"TensorFlow, PyTorch, R, NumPy, SQL, Time Management"
20783,Full Stack Developer,Full Stack Developer Senior,CloudWorks,San Francisco,2025-09-28,https://linkedin.com/jobs/view/20783,4.0,Alternance,Bac +5,2025,"NoSQL, Docker, Vue.js, HTML, REST API, Responsive Design, Angular, AWS/Azure/GCP, Communication, Time Management"
13061,Accounting,Accounting Senior,SoftWare Solutions,Marrakesh,2024-05-15,https://linkedin.com/jobs/view/13061,6.0,CDD,Bac +3,2024,"GAAP, ERP Systems, Reconciliation, Financial Reporting, Excel, Project Management, Analytical Thinking, Communication"
96028,Financial Analyst,Financial Analyst Intern,InvestPlus,Toronto,2025-09-11,https://linkedin.com/jobs/view/96028,6.0,Alternance,Bac +5,2025,"Valuation, Budgeting, Financial Reporting, Power BI, Bloomberg Terminal, Financial Modeling, Excel, Forecasting, Teamwork, Communication, Project Management"
38422,Cybersecurity,Cybersecurity Junior,CloudVision,Casablanca,2024-06-08,https://linkedin.com/jobs/view/38422,4.0,CDD,Bac +3,2024,"Security Auditing, Ethical Hacking, Risk Assessment, Firewall, Incident Response, Security+, CISSP, Network Security, Project Management, Problem Solving"
49948,Investment,Investment Senior,FinCorp,London,2025-07-05,https://linkedin.com/jobs/view/49948,6.0,Freelance,Bac +3,2025,"Linux, CI/CD, Git, Agile, REST API, Unit Testing, Scrum"
63569,Full Stack Developer,Full Stack Developer Junior,DataCorp,Toronto,2024-08-10,https://linkedin.com/jobs/view/63569,3.0,CDI,Bac +3,2024,"Angular, Git, Docker, JavaScript, Responsive Design, Vue.js, SQL, Express, Analytical Thinking, Project Management"
85663,Finance,Finance Junior,DataBrains,Casablanca,2023-04-05,https://linkedin.com/jobs/view/85663,2.0,CDD,Doctorat,2023,"Financial Reporting, Oracle Financials, ERP Systems, Risk Management, SAP, Excel, Time Management, Project Management"
