id,Secteur,Poste,Entreprise,Ville,Date_de_publication,Lien,Experience,Contrat,Niveau_etude
job_3582,Tech,Data Scientist,Crédit Agricole,Lyon,2025-06-16,https://www.glassdoor.fr/job/6006,50k - 70k € par an,CDI,Bac+5
job_8755,Finance,Risk Manager,Société Générale,Paris,2025-06-16,https://www.glassdoor.fr/job/3127,50k - 70k € par an,CDI,Bac+5
job_6534,Finance,Risk Manager,Crédit Agricole,Marseille,2025-06-16,https://www.glassdoor.fr/job/6038,50k - 70k € par an,CDI,Bac+5
job_3571,Tech,Risk Manager,Société Générale,Lyon,2025-06-16,https://www.glassdoor.fr/job/3792,50k - 70k € par an,CDI,Bac+5
job_6072,Finance,Analyste Financier,BNP Paribas,Paris,2025-06-16,https://www.glassdoor.fr/job/3358,50k - 70k € par an,CDI,Bac+5
job_9660,Finance,Data Scientist,Société Générale,Nice,2025-06-16,https://www.glassdoor.fr/job/3484,50k - 70k € par an,CDI,Bac+5
job_3489,Tech,Développeur Python,Société Générale,Bordeaux,2025-06-16,https://www.glassdoor.fr/job/6445,50k - 70k € par an,CDI,Bac+5
job_4911,Finance,Analyste Financier,Société Générale,Marseille,2025-06-16,https://www.glassdoor.fr/job/2535,50k - 70k € par an,CDI,Bac+5
job_6373,Tech,Software Engineer,Société Générale,Marseille,2025-06-16,https://www.glassdoor.fr/job/3282,50k - 70k € par an,CDI,Bac+5
job_1093,Tech,Machine Learning Engineer,BNP Paribas,Marseille,2025-06-16,https://www.glassdoor.fr/job/7991,50k - 70k € par an,CDI,Bac+5
job_4981,Finance,Machine Learning Engineer,Société Générale,Nice,2025-06-16,https://www.glassdoor.fr/job/6562,50k - 70k € par an,CDI,Bac+5
job_9934,Tech,Data Scientist,Société Générale,Nice,2025-06-16,https://www.glassdoor.fr/job/8856,50k - 70k € par an,CDI,Bac+5
job_2191,Finance,Machine Learning Engineer,Crédit Agricole,Paris,2025-06-16,https://www.glassdoor.fr/job/8478,50k - 70k € par an,CDI,Bac+5
job_7926,Tech,Data Scientist,Société Générale,Lyon,2025-06-16,https://www.glassdoor.fr/job/6210,50k - 70k € par an,CDI,Bac+5
